star_id,period_days,power,transit_depth_percent,score,interesting
TIC 35148303,0.9400000000000004,934.4826064548304,4.089943677451435,3821.981227958271,True
TIC 16133801,13.040000000000012,84.02355170332592,2.83326238003061,238.0607680775902,True
TIC 46086309,10.200000000000008,27.70689941090093,2.568238652151067,71.15792999833741,True
TIC 36746919,15.320000000000013,118.05389388816268,3.704119357034452,437.2857135244346,True
TIC 19661061,13.540000000000012,118.53237691383556,3.3893878132859823,401.7521937915749,True
TIC 48443156,15.740000000000013,66.84103234330539,1.5660585092995172,104.67696747159764,True
TIC 163172679,14.18000000000001,148.2780584881615,1.7601360285980028,260.98955299557497,True
TIC 186588819,14.700000000000014,69.13143708121325,0.7892232423404977,54.56013692089323,True
TIC 126358830,15.380000000000011,37.10369696419031,1.4026430362874651,52.04324216734191,True
TIC 179295564,7.340000000000007,237.31946263407195,0.7245151563173513,171.94154756747443,True
TIC 102921333,13.040000000000012,99.26875448047144,1.894651515782708,188.0796961462867,True
TIC 114401128,0.7800000000000002,17.95156131470925,3.1985632323030866,57.419203983663465,True
TIC 158329130,1.2200000000000006,79.57650831945423,2.629996331783901,209.28592497633576,True
TIC 155214568,0.54,55.61285313799869,1.418375194049537,78.8798913612573,True
TIC 382177710,16.200000000000014,2114.376888702535,1.25438107623963,2652.2343572268865,True
TIC 316288294,15.240000000000013,168.65877160634832,3.47640211826058,586.3257108755366,True
TIC 308489353,12.98000000000001,37.52805297764743,1.556165445989921,58.39985929909409,True
TIC 379456280,15.540000000000012,58.00256446220167,2.181637786235968,126.54058632932669,True
TIC 381720499,15.860000000000014,24.85539406381104,4.933281150666213,122.61864702737986,True
TIC 373508884,13.02000000000001,527.3209481310697,2.0618125151699584,1087.2369303679282,True
TIC 313829311,14.220000000000011,149.24294015366746,1.4604375485750665,217.9599936601575,True
TIC 369789037,14.380000000000011,117.77991268255022,1.6024248293600496,188.73345648237708,True
TIC 338664075,14.140000000000011,141.44885018093552,1.2373562490458068,175.02261869172466,True
TIC 463396261,13.520000000000012,43.43127136868123,2.538780030074017,110.26244443153332,True
TIC 444685421,12.92000000000001,2082.4983585406567,0.8360660157301303,1741.1061053896233,True
TIC 465392463,14.540000000000012,133.58713776138006,4.683517409523475,625.6576853938343,True
TIC 454551018,2.0800000000000014,291.4016326877708,1.091439217791912,318.0471700440266,True
TIC 448437679,13.840000000000012,267.64062481005027,1.549287335742422,414.6522305483999,True
TIC 460071843,13.860000000000012,59.6384731424466,1.4453240287832458,86.19691827272233,True
